id,Réseau Social,Class,Commentaire client
0,Twitter,4,يا اتصالات الجزائر راهم عندهم من 1 جانفي ملي حفرو وين نسكن انا لحد الان مزال ما جاوش درو لفيبر مع انو المكان لي قدامنا ڨاع عندهم 
1,Facebook,4,Algérie Télécom - إتصالات الجزائر نتمنى تكملو في ايسطو وهران في اقرب وقت رانا نعانو مع ADSL
2,Facebook,4,Algérie Télécom - إتصالات الجزائر بينا وبين الخط شارع واحد لاكن لاحياة لمن تنادي كل مرة نتصلو بيكم ونروحو للوكالة نفس الحجة ونفس العذر مزال مقاول مبداش بلدية رغاية
3,Facebook,4,المشروع متوقف منذ اشهر
4,Facebook,4,Algérie Télécom - إتصالات الجزائر وين الجهود احدادن اكبر منطقة في بجاية اكثر كثافة سكانية و الفيبر منعدم و نتوما تقولو نكثف الجهود
5,Facebook,4,يهديكم ربي وصلولنا شبكة الهاتف سكان سليم 2وادسلي ولاية الشلف 
6,Facebook,4,نحن مازلنا ننتظر الألياف البصرية ونحن داخل المدينة
7,Facebook,4,هي ربط سكان حي الجزيرة 126 مسكن مقابل العيادة ولاية تمنراست بالشبكهي ربط سكان حي الجزيرة 126 مسكن مقابل العيادة ولاية تمنراست بالشبكة ة 
8,Facebook,4,ولايةالطارف الذرعان مكانش غير في زوز احياء
9,Facebook,4,Rana f des années n9ara3 la fibre walou 
10,Facebook,4,الفيبر وماكانش، هذاك هو المهم، انه حلم بعيد المراد في مدينتي 
11,Facebook,4,مشروع سنة 2003يعني 21سنة ولم ينجز 21 سنة ولم يبدأ بعد يا اتصالات الجزائر بما تفسرون هذا
12,Facebook,4,مشروع ألياف البصرية على مستوي حي البريجة سطاوالي متوقف منذ شهر سبتمبر 2024.
13,Facebook,4,يدرا واش من جديد الالياف البصرية ومزال ما لحڨتناش واش ننتظرو
14,Facebook,4,السلام عليكم يا اتصالات الجزائر خسرتو دراهم وعمال وركبتو الألياف البصرية ولحد الساعة واحد ما استفاد منها .....عنابة.... شارع بلعيد بلقاسم
15,Facebook,4,ما هو الجديد وانا مزال ماعنديش الفيبر رغم الطلب ولالحاح
16,Facebook,4,نطلب فقط ربطنا بالتقنية الجديدة الالياف البصرية، طال الحال
17,Facebook,4,حتى الفيبر احنا نستناو فيه قالك حطو الاعمدة وراحو واحنا نعتبر قلب المدينة اصبح خارج الولاية
18,Facebook,4,حنا الفيبر حبس بعيد علينا ب 100 متر اي في 7 اشهر و مكان والو
19,Facebook,4,احنا لصڨوا لبايط و دارو ليهم الأرقام و مشاااااااو ، راهم فايت الشهر لا حس ولا خبر واش راهم يستناو ؟؟؟؟؟ ما نعرفوين راه هاد الفيبر ؟؟؟ رانا غير نسمعوا بيه 
20,Facebook,4,عنابة راهي تعاني مهمش يخدمو خلاه لحد الان موصلتش لفيبر وين سنكلو مازلنا في انترنت تع 2001
21,Facebook,4,نحن في قلب مدينة المسيلة وليس اطرافها وما زلنا ننتظر في IDOOM FIBRE
22,Facebook,4,بعض الأحياء في سيدي بلعباس تعاني من عدم توفر vdsl و FTTH الوتيرة بطيييييئة جدا
23,Facebook,4,اين هو الفيبر
24,Facebook,4,اين الفيبر؟ واين مودام الفيبر؟!؟
25,Facebook,4,اين الفيبر؟
26,Facebook,4,المودام كاين غير في الصور
27,Facebook,4,نحن على أبواب 2025 ومازال الكثير من القرى غير مزودة بالربط
28,Facebook,4,عام 2030انشالله
29,Facebook,4,وفرو الخدمة الالياف البصرية أولاا امبعد ساهل ديرو ترويج وناس ماعندهاش هاد الخدمة ديرو إشهار ليكم فقط بلي رنى حتى لتم ياو مكاين والو تاريخكم مع زبائنكم معروف غير مكاله
30,Facebook,4,حتى توفرو المودام و مبعد احكوا على العروض
31,Facebook,4,كي تربطو الحي نتاعنا بالفيبر من بعد ساهلة
32,Facebook,4,لحقولنا لفيبر برك ونشتركوو ف 1 جيڨا
33,Instagram,4,بلدية مشهورة و ذات صمعة ممتازة كيما رويبة مازال مادارولناش لافيبر والله غير راكوم تجياحو مرقتوها
34,Instagram,4,ف البلدية نتاعنا مكاش
35,Facebook,4,3andkom brk madiroch les offres hado ki ji la fibre
36,Facebook,4,وحنا كيفاه بلدية برج بونعامة ولاية تيسمسيلت مكاش
37,Instagram,4,عندنا بداو يركبو فيهم فأكتوبر قالك لمارس باه يكمل👍🏼👍🏼
38,Facebook,4,في الجزائر الف شخص مربوط بالفيبر وزوج ملاين شخص مربوطين ب ADSL وظال يشلحو الفيبر وعروض لي يديرو فيها واحد ما راه يشترك فيها لانهم جلهم عندهم ADSL
39,Facebook,4,نحن في قلب مدينة الجلفة في حي بربيح ولا زلنا ننتظر تزويدنا بالفايبر
40,Facebook,4,مادام ماكاش الفيبر لا جديد لا هم يحزنون ...
41,Facebook,4,Jibolna les modemes te3 fibre yarham waldikom 
42,Twitter,4,هذا فاه شاطرين غير فالإعلانات عندنا في حينا بوفاريك حي بلوش شهرين دون نات سرقولنا الكابل قالونا في شركتكم نديرولكم الألياف و لحد الساعة مكان والو. غير الوعود و الهدرة فالفراغ.
43,Twitter,4,اين نحن من الفيبر، جماعة ADSL ،ستة عمارات من أصل 20 عمارة غير مربوطة بالألياف البصرية اللتي تبعد عن حينا ب100 متر
44,Twitter,4,La fibre c'est pour quand?
